Trait	Rep	Max	Rank	LOD
1	196	14.83319	50	3.2209862830112477
3	417	15.17739	50	3.2957283633467975
4	697	15.64912	50	3.3981632313209076
5	827	15.87299	50	3.4467759841527483
6	424	15.48597	50	3.36273565895965
7	936	14.37466	50	3.1214177586176985
8	329	15.375	50	3.338638829631248
9	863	15.27806	50	3.3175885760933976
