Gen	Trait	Avg_Value
1	Avg_LA	72.76289804134409
1	FUELA	71.45554019387096
1	MLA	61.72581802943396
1	TUELA	76.60742293924731
1	ULA	78.90091968264151
1	lin_a	68.35433557276454
1	lin_b1	2.5191785534740228
1	lin_rsq_t	3.175244698827727
2	Avg_LA	57.86483198908602
2	FUELA	62.24558064537634
2	MLA	56.01279999987421
2	TUELA	59.12671684537634
2	ULA	52.28256186509434
2	lin_a	58.872097912975576
2	lin_b1	-0.5755805279368907
2	lin_rsq_t	-1.851953637053919
3	Avg_LA	76.64122921142473
3	FUELA	77.91670788516129
3	MLA	74.09906478
3	TUELA	79.05813261602151
3	ULA	75.42205937433963
3	lin_a	76.0615457709376
3	lin_b1	0.3312476802783636
3	lin_rsq_t	-1.8046360430567912
