Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
Mo17/PHW30-341 - (2n)-02	2016	1	5	ULA	50.0442	1	5	133	1	2016_Loc1
PHW30/Mo17-178 - (2n)-01	2016	1	6	ULA	79.1934	1	5	285	1	2016_Loc1
PHW30/Mo17-266 - (2n)-01	2016	1	8	ULA	68.94633333	1	5	301	1	2016_Loc1
Mo17/PHW30-281 - (2n)-01	2016	1	9	ULA	67.40033333	1	5	122	1	2016_Loc1
Mo17/PHW30-429 - (2n)-02	2016	1	10	ULA	43.048	1	5	139	1	2016_Loc1
PHW30/Mo17-061 - (2n)-02	2016	1	11	ULA	47.3034	1	5	242	1	2016_Loc1
PHW30/Mo17-037 - (2n)-02	2016	1	12	ULA	57.1438	1	5	230	1	2016_Loc1
Mo17/PHW30-148 - (2n)-02	2016	1	13	ULA	64.885	1	5	96	1	2016_Loc1
B73/PHW30-092 - (2n)-01	2016	1	14	ULA	75.0254	1	4	14	1	2016_Loc1
PHW30/Mo17-089 - (2n)-01	2016	1	15	ULA	69.5938	1	5	252	1	2016_Loc1
Mo17/PHW30-254 - (2n)-02	2016	1	16	ULA	74.344	1	5	115	1	2016_Loc1
PHW30/B73-302 - (2n)-02	2016	1	17	ULA	74.1428	1	4	194	1	2016_Loc1
Mo17/PHW30-089 - (2n)-02	2016	1	18	ULA	62.8806	1	5	84	1	2016_Loc1
PHW30/Mo17-110 - (2n)-03	2016	1	19	ULA	69.8682	1	5	262	1	2016_Loc1
PHW30/B73-193 - (2n)-01	2016	1	20	ULA	81.4578	1	4	178	1	2016_Loc1
PHW30/B73-433 - (2n)-01	2016	1	21	ULA	68.197	1	4	214	1	2016_Loc1
PHW30/Mo17-179 - (2n)-01	2016	1	22	ULA	64.3428	1	5	287	1	2016_Loc1
PHW30/Mo17-101 - (2n)-02	2016	1	23	ULA	73.543	1	5	259	1	2016_Loc1
PHW30/B73-029 - (2n)-01	2016	1	25	ULA	64.5038	1	4	153	1	2016_Loc1
Mo17/PHW30-009 - (2n)-01	2016	1	26	ULA	54.7118	1	5	66	1	2016_Loc1
PHW30/Mo17-278 - (2n)-02	2016	1	27	ULA	57.6042	1	5	303	1	2016_Loc1
PHW30/Mo17-010 - (2n)-02	2016	1	28	ULA	45.104	1	5	219	1	2016_Loc1
Mo17/PHW30-456 - (2n)-02	2016	1	29	ULA	65.8216	1	5	146	1	2016_Loc1
Mo17/PHW30-456 - (2n)-01	2016	1	30	ULA	51.2096	1	5	145	1	2016_Loc1
B73/PHW30-154 - (2n)-01	2016	1	31	ULA	77.6244	1	4	25	1	2016_Loc1
Mo17/PHW30-292 - (2n)-01	2016	1	32	ULA	68.959	1	5	123	1	2016_Loc1
Mo17/PHW30-409 - (2n)-02	2016	1	33	ULA	67.706	1	5	137	1	2016_Loc1
Mo17/PHW30-248 - (2n)-02	2016	1	34	ULA	63.7114	1	5	113	1	2016_Loc1
PHW30/Mo17-160 - (2n)-02	2016	1	36	ULA	52.4058	1	5	279	1	2016_Loc1
PHW30/Mo17-095 - (2n)-02	2016	1	5	ULA	43.923	1	5	255	2	2016_Loc1
Mo17/PHW30-109 - (2n)-01	2016	1	6	ULA	46.2056	1	5	88	2	2016_Loc1
PHW30/B73-289 - (2n)-02	2016	1	7	ULA	65.6028	1	4	191	2	2016_Loc1
Mo17/PHW30-324 - (2n)-01	2016	1	8	ULA	36.0986	1	5	128	2	2016_Loc1
PHW30/Mo17-099 - (2n)-02	2016	1	9	ULA	60.6532	1	5	257	2	2016_Loc1
Mo17/PHW30-279 - (2n)-02	2016	1	10	ULA	59.0672	1	5	121	2	2016_Loc1
Mo17/PHW30-332 - (2n)-02	2016	1	11	ULA	69.1654	1	5	131	2	2016_Loc1
Mo17/PHW30-133 - (2n)-02	2016	1	12	ULA	67.7776	1	5	94	2	2016_Loc1
PHW30/Mo17-187 - (2n)-01	2016	1	13	ULA	79.8098	1	5	288	2	2016_Loc1
PHW30/B73-138 - (2n)-01	2016	1	14	ULA	72.176	1	4	166	2	2016_Loc1
PHW30/Mo17-299 - (2n)-01	2016	1	15	ULA	81.3664	1	5	306	2	2016_Loc1
B73/PHW30-409 - (2n)-02	2016	1	16	ULA	70.5166	1	4	61	2	2016_Loc1
PHW30/Mo17-155 - (2n)-02	2016	1	17	ULA	47.3568	1	5	275	2	2016_Loc1
PHW30/Mo17-157 - (2n)-02	2016	1	18	ULA	67.2928	1	5	277	2	2016_Loc1
B73/PHW30-064 - (2n)-01	2016	1	20	ULA	67.207	1	4	10	2	2016_Loc1
PHW30/B73-002 - (2n)-01	2016	1	21	ULA	63.8124	1	4	147	2	2016_Loc1
Mo17/PHW30-409 - (2n)-01	2016	1	22	ULA	69.8442	1	5	136	2	2016_Loc1
PHW30/Mo17-050 - (2n)-01	2016	1	24	ULA	49.1686	1	5	233	2	2016_Loc1
PHW30/B73-341 - (2n)-02	2016	1	25	ULA	56.3614	1	4	201	2	2016_Loc1
Mo17/PHW30-091 - (2n)-02	2016	1	27	ULA	58.6938	1	5	86	2	2016_Loc1
PHW30/Mo17-051 - (2n)-01	2016	1	28	ULA	61.3504	1	5	235	2	2016_Loc1
PHW30/B73-055 - (2n)-02	2016	1	29	ULA	63.2158	1	4	156	2	2016_Loc1
Mo17/PHW30-133 - (2n)-01	2016	1	30	ULA	43.6384	1	5	93	2	2016_Loc1
PHW30/Mo17-050 - (2n)-02	2016	1	31	ULA	62.8616	1	5	234	2	2016_Loc1
PHW30/B73-289 - (2n)-01	2016	1	32	ULA	56.995	1	4	190	2	2016_Loc1
Mo17/PHW30-309 - (2n)-02	2016	1	33	ULA	72.1186	1	5	125	2	2016_Loc1
PHW30/B73-355 - (2n)-01	2016	1	34	ULA	71.5824	1	4	205	2	2016_Loc1
Mo17/PHW30-126 - (2n)-01	2016	1	35	ULA	56.2444	1	5	91	2	2016_Loc1
PHW30/Mo17-136 - (2n)-02	2016	1	36	ULA	68.7894	1	5	268	2	2016_Loc1
PHW30/B73-349 - (2n)-01	2016	1	5	ULA	80.2042	1	4	202	3	2016_Loc1
Mo17/PHW30-279 - (2n)-01	2016	1	6	ULA	67.8334	1	5	120	3	2016_Loc1
B73/PHW30-068 - (2n)-01	2016	1	7	ULA	69.2758	1	4	12	3	2016_Loc1
PHW30/Mo17-129 - (2n)-01	2016	1	8	ULA	72.1235	1	5	265	3	2016_Loc1
PHW30/B73-066 - (2n)-02	2016	1	9	ULA	67.002	1	4	160	3	2016_Loc1
Mo17/PHW30-217 - (2n)-01	2016	1	10	ULA	59.8052	1	5	106	3	2016_Loc1
PHW30/B73-372 - (2n)-02	2016	1	11	ULA	79.0422	1	4	208	3	2016_Loc1
PHW30/B73-045 - (2n)-01	2016	1	12	ULA	68.0016	1	4	154	3	2016_Loc1
PHW30/Mo17-161 - (2n)-01	2016	1	13	ULA	76.04	1	5	280	3	2016_Loc1
Mo17/PHW30-016 - (2n)-02	2016	1	14	ULA	72.2988	1	5	70	3	2016_Loc1
B73/PHW30-141 - (2n)-01	2016	1	17	ULA	75.8394	1	4	23	3	2016_Loc1
PHW30/Mo17-061 - (2n)-01	2016	1	18	ULA	80.3392	1	5	241	3	2016_Loc1
PHW30/B73-311 - (2n)-01	2016	1	19	ULA	62.8816	1	4	195	3	2016_Loc1
Mo17/PHW30-153 - (2n)-03	2016	1	20	ULA	72.341	1	5	97	3	2016_Loc1
PHW30/B73-324 - (2n)-01	2016	1	21	ULA	72.8878	1	4	197	3	2016_Loc1
PHW30/Mo17-076 - (2n)-02	2016	1	22	ULA	50.59183333	1	5	246	3	2016_Loc1
PHW30/B73-097 - (2n)-01	2016	1	23	ULA	77.971	1	4	163	3	2016_Loc1
PHW30/B73-302 - (2n)-01	2016	1	25	ULA	73.8178	1	4	193	3	2016_Loc1
Mo17/PHW30-200 - (2n)-01	2016	1	26	ULA	76.7594	1	5	104	3	2016_Loc1
B73/PHW30-368 - (2n)-02	2016	1	27	ULA	78.6232	1	4	54	3	2016_Loc1
Mo17/PHW30-126 - (2n)-02	2016	1	28	ULA	46.1664	1	5	92	3	2016_Loc1
Mo17/PHW30-275 - (2n)-01	2016	1	29	ULA	68.7142	1	5	118	3	2016_Loc1
Mo17/PHW30-429 - (2n)-01	2016	1	30	ULA	59.7148	1	5	138	3	2016_Loc1
Mo17/PHW30-075 - (2n)-01	2016	1	31	ULA	57.8404	1	5	73	3	2016_Loc1
PHW30/Mo17-297 - (2n)-01	2016	1	32	ULA	66.4302	1	5	304	3	2016_Loc1
B73/PHW30-396 - (2n)-02	2016	1	33	ULA	63.1888	1	4	59	3	2016_Loc1
B73/PHW30-392 - (2n)-01	2016	1	34	ULA	77.7308	1	4	57	3	2016_Loc1
PHW30/B73-372 - (2n)-01	2016	1	35	ULA	66.4948	1	4	207	3	2016_Loc1
PHW30/Mo17-113 - (2n)-01	2016	1	36	ULA	79.459	1	5	263	3	2016_Loc1
B73/PHW30-163 - (2n)-02	2016	1	6	ULA	75.1556	1	4	27	4	2016_Loc1
PHW30/B73-287 - (2n)-01	2016	1	7	ULA	73.801	1	4	188	4	2016_Loc1
Mo17/PHW30-262 - (2n)-01	2016	1	8	ULA	60.7242	1	5	116	4	2016_Loc1
PHW30/B73-351 - (2n)-02	2016	1	9	ULA	55.173	1	4	204	4	2016_Loc1
PHW30/Mo17-107 - (2n)-01	2016	1	10	ULA	75.5942	1	5	260	4	2016_Loc1
PHW30/Mo17-059 - (2n)-02	2016	1	11	ULA	74.0352	1	5	240	4	2016_Loc1
PHW30/Mo17-165 - (2n)-02	2016	1	12	ULA	49.424	1	5	283	4	2016_Loc1
Mo17/PHW30-091 - (2n)-01	2016	1	13	ULA	55.4542	1	5	85	4	2016_Loc1
B73/PHW30-258 - (2n)-01	2016	1	14	ULA	76.20475	1	4	44	4	2016_Loc1
PHW30/Mo17-195 - (2n)-02	2016	1	15	ULA	36.4534	1	5	294	4	2016_Loc1
PHW30/B73-434 - (2n)-02	2016	1	16	ULA	73.6906	1	4	216	4	2016_Loc1
PHW30/Mo17-166 - (2n)-01	2016	1	17	ULA	78.8448	1	5	284	4	2016_Loc1
B73/PHW30-409 - (2n)-01	2016	1	18	ULA	47.563	1	4	60	4	2016_Loc1
B73/PHW30-102 - (2n)-03	2016	1	19	ULA	76.0695	1	4	22	4	2016_Loc1
B73/PHW30-302 - (2n)-01	2016	1	20	ULA	77.0124	1	4	49	4	2016_Loc1
PHW30/Mo17-054 - (2n)-02	2016	1	21	ULA	77.6666	1	5	238	4	2016_Loc1
Mo17/PHW30-016 - (2n)-01	2016	1	22	ULA	65.901	1	5	69	4	2016_Loc1
Mo17/PHW30-455 - (2n)-01	2016	1	23	ULA	66.9196	1	5	144	4	2016_Loc1
PHW30/B73-241 - (2n)-02	2016	1	24	ULA	62.2038	1	4	185	4	2016_Loc1
PHW30/Mo17-026 - (2n)-02	2016	1	25	ULA	67.5034	1	5	223	4	2016_Loc1
PHW30/Mo17-308 - (2n)-02	2016	1	26	ULA	78.3646	1	5	310	4	2016_Loc1
PHW30/Mo17-178 - (2n)-02	2016	1	27	ULA	76.6515	1	5	286	4	2016_Loc1
PHW30/B73-326 - (2n)-01	2016	1	29	ULA	80.2982	1	4	198	4	2016_Loc1
PHW30/B73-121 - (2n)-01	2016	1	30	ULA	74.42333333	1	4	165	4	2016_Loc1
Mo17/PHW30-084 - (2n)-02	2016	1	32	ULA	59.5592	1	5	80	4	2016_Loc1
PHW30/B73-015 - (2n)-02	2016	1	33	ULA	58.023	1	4	152	4	2016_Loc1
Mo17/PHW30-008 - (2n)-01	2016	1	34	ULA	66.1666	1	5	64	4	2016_Loc1
B73/PHW30-256 - (2n)-01	2016	1	35	ULA	79.463	1	4	43	4	2016_Loc1
B73/PHW30-385 - (2n)-03	2016	1	36	ULA	66.469	1	4	56	4	2016_Loc1
Mo17/PHW30-332 - (2n)-01	2016	1	5	ULA	72.5212	1	5	130	5	2016_Loc1
Mo17/PHW30-084 - (2n)-01	2016	1	6	ULA	41.5728	1	5	79	5	2016_Loc1
Mo17/PHW30-235 - (2n)-02	2016	1	7	ULA	61.8466	1	5	111	5	2016_Loc1
PHW30/Mo17-054 - (2n)-01	2016	1	8	ULA	67.985	1	5	237	5	2016_Loc1
PHW30/Mo17-019 - (2n)-02	2016	1	9	ULA	60.6616	1	5	221	5	2016_Loc1
Mo17/PHW30-430 - (2n)-02	2016	1	10	ULA	54.7284	1	5	141	5	2016_Loc1
PHW30/Mo17-299 - (2n)-02	2016	1	11	ULA	66.5862	1	5	307	5	2016_Loc1
PHW30/B73-060 - (2n)-02	2016	1	12	ULA	71.902	1	4	158	5	2016_Loc1
PHW30/Mo17-064 - (2n)-02	2016	1	13	ULA	57.8156	1	5	244	5	2016_Loc1
PHW30/Mo17-028 - (2n)-01	2016	1	14	ULA	53.138	1	5	224	5	2016_Loc1
PHW30/Mo17-141 - (2n)-02	2016	1	15	ULA	59.3602	1	5	272	5	2016_Loc1
B73/PHW30-068 - (2n)-02	2016	1	17	ULA	66.5432	1	4	13	5	2016_Loc1
Mo17/PHW30-044 - (2n)-01	2016	1	18	ULA	56.0582	1	5	71	5	2016_Loc1
PHW30/B73-421 - (2n)-01	2016	1	19	ULA	78.9168	1	4	212	5	2016_Loc1
PHW30/Mo17-194 - (2n)-02	2016	1	20	ULA	67.84	1	5	292	5	2016_Loc1
B73/PHW30-102 - (2n)-01	2016	1	21	ULA	77.2996	1	4	21	5	2016_Loc1
Mo17/PHW30-321 - (2n)-01	2016	1	22	ULA	75.6166	1	5	127	5	2016_Loc1
PHW30/Mo17-155 - (2n)-01	2016	1	25	ULA	57.422	1	5	274	5	2016_Loc1
B73/PHW30-186 - (2n)-02	2016	1	26	ULA	73.9114	1	4	32	5	2016_Loc1
PHW30/B73-009 - (2n)-02	2016	1	27	ULA	71.8712	1	4	150	5	2016_Loc1
B73/PHW30-196 - (2n)-01	2016	1	28	ULA	80.3446	1	4	33	5	2016_Loc1
PHW30/B73-002 - (2n)-02	2016	1	29	ULA	61.2864	1	4	148	5	2016_Loc1
PHW30/B73-243 - (2n)-02	2016	1	30	ULA	74.2425	1	4	186	5	2016_Loc1
B73/PHW30-098 - (2n)-03	2016	1	31	ULA	71.5656	1	4	18	5	2016_Loc1
PHW30/B73-241 - (2n)-01	2016	1	32	ULA	74.7794	1	4	184	5	2016_Loc1
B73/PHW30-207 - (2n)-02	2016	1	33	ULA	69.0394	1	4	36	5	2016_Loc1
B73/PHW30-152 - (2n)-01	2016	1	34	ULA	62.4594	1	4	24	5	2016_Loc1
B73/PHW30-237 - (2n)-02	2016	1	35	ULA	78.8824	1	4	41	5	2016_Loc1
B73/PHW30-226 - (2n)-01	2016	1	36	ULA	79.85066667	1	4	39	5	2016_Loc1
B73/PHW30-285 - (2n)-01	2016	1	6	ULA	71.7706	1	4	46	6	2016_Loc1
B73/PHW30-064 - (2n)-02	2016	1	7	ULA	70.9936	1	4	11	6	2016_Loc1
Mo17/PHW30-121 - (2n)-03	2016	1	8	ULA	81.496	1	5	90	6	2016_Loc1
Mo17/PHW30-089 - (2n)-01	2016	1	9	ULA	61.1532	1	5	83	6	2016_Loc1
PHW30/B73-015 - (2n)-01	2016	1	10	ULA	67.721	1	4	151	6	2016_Loc1
Mo17/PHW30-008 - (2n)-02	2016	1	11	ULA	47.2098	1	5	65	6	2016_Loc1
B73/PHW30-316 - (2n)-01	2016	1	12	ULA	81.251	1	4	51	6	2016_Loc1
PHW30/Mo17-059 - (2n)-01	2016	1	13	ULA	71.4764	1	5	239	6	2016_Loc1
PHW30/Mo17-037 - (2n)-01	2016	1	14	ULA	54.7494	1	5	229	6	2016_Loc1
PHW30/B73-161 - (2n)-02	2016	1	15	ULA	66.6228	1	4	173	6	2016_Loc1
B73/PHW30-026 - (2n)-01	2016	1	16	ULA	76.367	1	4	4	6	2016_Loc1
PHW30/Mo17-095 - (2n)-01	2016	1	17	ULA	45.9558	1	5	254	6	2016_Loc1
PHW30/B73-341 - (2n)-01	2016	1	18	ULA	64.5268	1	4	200	6	2016_Loc1
PHW30/B73-060 - (2n)-01	2016	1	19	ULA	74.7358	1	4	157	6	2016_Loc1
PHW30/Mo17-010 - (2n)-01	2016	1	20	ULA	56.272	1	5	218	6	2016_Loc1
PHW30/Mo17-252 - (2n)-01	2016	1	21	ULA	63.2114	1	5	299	6	2016_Loc1
PHW30/B73-401 - (2n)-02	2016	1	22	ULA	49.8406	1	4	211	6	2016_Loc1
PHW30/Mo17-101 - (2n)-01	2016	1	23	ULA	51.7126	1	5	258	6	2016_Loc1
B73/PHW30-368 - (2n)-01	2016	1	24	ULA	78.3674	1	4	53	6	2016_Loc1
Mo17/PHW30-275 - (2n)-02	2016	1	25	ULA	77.147	1	5	119	6	2016_Loc1
PHW30/Mo17-242 - (2n)-01	2016	1	26	ULA	74.8266	1	5	297	6	2016_Loc1
PHW30/Mo17-077 - (2n)-01	2016	1	27	ULA	69.4264	1	5	247	6	2016_Loc1
PHW30/Mo17-003 - (2n)-01	2016	1	28	ULA	83.7604	1	5	217	6	2016_Loc1
PHW30/B73-066 - (2n)-01	2016	1	29	ULA	76.04166667	1	4	159	6	2016_Loc1
Mo17/PHW30-081 - (2n)-01	2016	1	30	ULA	61.655	1	5	77	6	2016_Loc1
PHW30/B73-169 - (2n)-02	2016	1	32	ULA	67.5182	1	4	175	6	2016_Loc1
PHW30/B73-232 - (2n)-02	2016	1	34	ULA	65.2936	1	4	183	6	2016_Loc1
Mo17/PHW30-454 - (2n)-01	2016	1	35	ULA	60.1154	1	5	142	6	2016_Loc1
PHW30/Mo17-188 - (2n)-01	2016	1	36	ULA	68.0666	1	5	290	6	2016_Loc1
B73/PHW30-098 - (2n)-01	2016	1	6	ULA	66.1334	1	4	17	7	2016_Loc1
PHW30/B73-161 - (2n)-01	2016	1	7	ULA	69.0204	1	4	172	7	2016_Loc1
PHW30/B73-143 - (2n)-01	2016	1	9	ULA	64.6538	1	4	169	7	2016_Loc1
PHW30/B73-055 - (2n)-01	2016	1	10	ULA	68.6202	1	4	155	7	2016_Loc1
Mo17/PHW30-235 - (2n)-01	2016	1	11	ULA	61.971	1	5	110	7	2016_Loc1
PHW30/B73-184 - (2n)-02	2016	1	12	ULA	54.5292	1	4	177	7	2016_Loc1
PHW30/Mo17-298 - (2n)-01	2016	1	13	ULA	61.6838	1	5	305	7	2016_Loc1
B73/PHW30-063 - (2n)-02	2016	1	14	ULA	.	1	4	9	7	2016_Loc1
Mo17/PHW30-262 - (2n)-02	2016	1	15	ULA	75.8882	1	5	117	7	2016_Loc1
Mo17/PHW30-324 - (2n)-02	2016	1	16	ULA	47.9744	1	5	129	7	2016_Loc1
B73/PHW30-237 - (2n)-01	2016	1	17	ULA	77.311	1	4	40	7	2016_Loc1
PHW30/B73-292 - (2n)-01	2016	1	18	ULA	65.8228	1	4	192	7	2016_Loc1
Mo17/PHW30-081 - (2n)-03	2016	1	19	ULA	61.5508	1	5	78	7	2016_Loc1
PHW30/Mo17-088 - (2n)-01	2016	1	20	ULA	57.1798	1	5	250	7	2016_Loc1
PHW30/Mo17-129 - (2n)-02	2016	1	21	ULA	43.0704	1	5	266	7	2016_Loc1
PHW30/B73-078 - (2n)-02	2016	1	23	ULA	75.697	1	4	162	7	2016_Loc1
Mo17/PHW30-309 - (2n)-01	2016	1	24	ULA	44.4674	1	5	124	7	2016_Loc1
PHW30/B73-009 - (2n)-01	2016	1	25	ULA	59.1042	1	4	149	7	2016_Loc1
PHW30/Mo17-107 - (2n)-02	2016	1	26	ULA	70.682	1	5	261	7	2016_Loc1
B73/PHW30-097 - (2n)-02	2016	1	27	ULA	68.3676	1	4	16	7	2016_Loc1
Mo17/PHW30-086 - (2n)-02	2016	1	28	ULA	74.4904	1	5	82	7	2016_Loc1
PHW30/Mo17-252 - (2n)-02	2016	1	29	ULA	69.32266667	1	5	300	7	2016_Loc1
PHW30/Mo17-033 - (2n)-01	2016	1	30	ULA	71.66	1	5	228	7	2016_Loc1
Mo17/PHW30-184 - (2n)-01	2016	1	31	ULA	75.0344	1	5	102	7	2016_Loc1
Mo17/PHW30-314 - (2n)-01	2016	1	32	ULA	60.1202	1	5	126	7	2016_Loc1
PHW30/B73-157 - (2n)-01	2016	1	33	ULA	67.8392	1	4	170	7	2016_Loc1
PHW30/Mo17-064 - (2n)-01	2016	1	34	ULA	59.6432	1	5	243	7	2016_Loc1
PHW30/B73-326 - (2n)-02	2016	1	35	ULA	74.1874	1	4	199	7	2016_Loc1
B73/PHW30-183 - (2n)-02	2016	1	36	ULA	77.879	1	4	30	7	2016_Loc1
B73/PHW30-252 - (2n)-01	2016	1	5	ULA	74.647	1	4	42	8	2016_Loc1
PHW30/Mo17-142 - (2n)-01	2016	1	6	ULA	65.4758	1	5	273	8	2016_Loc1
Mo17/PHW30-231 - (2n)-03	2016	1	7	ULA	55.1436	1	5	109	8	2016_Loc1
PHW30/Mo17-194 - (2n)-01	2016	1	8	ULA	52.3268	1	5	291	8	2016_Loc1
Mo17/PHW30-080 - (2n)-02	2016	1	9	ULA	75.7035	1	5	76	8	2016_Loc1
Mo17/PHW30-341 - (2n)-01	2016	1	10	ULA	51.0604	1	5	132	8	2016_Loc1
PHW30/Mo17-032 - (2n)-02	2016	1	11	ULA	80.0262	1	5	227	8	2016_Loc1
PHW30/Mo17-028 - (2n)-02	2016	1	12	ULA	65.3178	1	5	225	8	2016_Loc1
PHW30/B73-434 - (2n)-01	2016	1	13	ULA	69.2192	1	4	215	8	2016_Loc1
PHW30/Mo17-113 - (2n)-02	2016	1	14	ULA	56.6324	1	5	264	8	2016_Loc1
PHW30/Mo17-051 - (2n)-02	2016	1	15	ULA	78.5646	1	5	236	8	2016_Loc1
Mo17/PHW30-013 - (2n)-02	2016	1	16	ULA	75.3818	1	5	68	8	2016_Loc1
PHW30/B73-097 - (2n)-02	2016	1	18	ULA	83.846	1	4	164	8	2016_Loc1
B73/PHW30-211 - (2n)-01	2016	1	19	ULA	71.0934	1	4	37	8	2016_Loc1
B73/PHW30-302 - (2n)-02	2016	1	20	ULA	62.4276	1	4	50	8	2016_Loc1
Mo17/PHW30-160 - (2n)-02	2016	1	22	ULA	48.9492	1	5	101	8	2016_Loc1
B73/PHW30-100 - (2n)-02	2016	1	24	ULA	81.2578	1	4	20	8	2016_Loc1
PHW30/B73-204 - (2n)-01	2016	1	25	ULA	72.9458	1	4	179	8	2016_Loc1
PHW30/Mo17-278 - (2n)-01	2016	1	26	ULA	62.629	1	5	302	8	2016_Loc1
B73/PHW30-207 - (2n)-01	2016	1	27	ULA	56.7234	1	4	35	8	2016_Loc1
B73/PHW30-166 - (2n)-01	2016	1	28	ULA	79.9566	1	4	28	8	2016_Loc1
PHW30/Mo17-049 - (2n)-02	2016	1	29	ULA	50.2914	1	5	232	8	2016_Loc1
Mo17/PHW30-430 - (2n)-01	2016	1	30	ULA	52.57	1	5	140	8	2016_Loc1
PHW30/B73-184 - (2n)-01	2016	1	31	ULA	72.4328	1	4	176	8	2016_Loc1
B73/PHW30-288 - (2n)-02	2016	1	32	ULA	82.155	1	4	48	8	2016_Loc1
PHW30/Mo17-141 - (2n)-01	2016	1	33	ULA	61.7768	1	5	271	8	2016_Loc1
Mo17/PHW30-157 - (2n)-01	2016	1	34	ULA	70.6154	1	5	99	8	2016_Loc1
PHW30/Mo17-161 - (2n)-02	2016	1	35	ULA	60.9958	1	5	281	8	2016_Loc1
PHW30/Mo17-085 - (2n)-01	2016	1	36	ULA	69.9918	1	5	249	8	2016_Loc1
PHW30/Mo17-242 - (2n)-02	2016	1	5	ULA	61.656	1	5	298	9	2016_Loc1
Mo17/PHW30-013 - (2n)-01	2016	1	6	ULA	57.788	1	5	67	9	2016_Loc1
PHW30/B73-287 - (2n)-02	2016	1	7	ULA	60.3678	1	4	189	9	2016_Loc1
PHW30/B73-421 - (2n)-03	2016	1	8	ULA	76.99066667	1	4	213	9	2016_Loc1
PHW30/Mo17-234 - (2n)-01	2016	1	9	ULA	77.7444	1	5	295	9	2016_Loc1
PHW30/Mo17-139 - (2n)-01	2016	1	12	ULA	54.847	1	5	269	9	2016_Loc1
PHW30/Mo17-160 - (2n)-01	2016	1	13	ULA	64.3224	1	5	278	9	2016_Loc1
PHW30/B73-269 - (2n)-01	2016	1	14	ULA	67.2812	1	4	187	9	2016_Loc1
PHW30/B73-221 - (2n)-01	2016	1	15	ULA	54.6214	1	4	180	9	2016_Loc1
PHW30/Mo17-049 - (2n)-01	2016	1	16	ULA	42.4942	1	5	231	9	2016_Loc1
PHW30/B73-157 - (2n)-03	2016	1	17	ULA	67.69133333	1	4	171	9	2016_Loc1
PHW30/B73-232 - (2n)-01	2016	1	18	ULA	75.0332	1	4	182	9	2016_Loc1
B73/PHW30-097 - (2n)-01	2016	1	19	ULA	58.4824	1	4	15	9	2016_Loc1
PHW30/Mo17-077 - (2n)-02	2016	1	20	ULA	74.2628	1	5	248	9	2016_Loc1
Mo17/PHW30-075 - (2n)-02	2016	1	21	ULA	34.199	1	5	74	9	2016_Loc1
PHW30/Mo17-308 - (2n)-01	2016	1	22	ULA	75.361	1	5	309	9	2016_Loc1
B73/PHW30-348 - (2n)-01	2016	1	23	ULA	61.05	1	4	52	9	2016_Loc1
B73/PHW30-186 - (2n)-01	2016	1	24	ULA	73.407	1	4	31	9	2016_Loc1
Mo17/PHW30-086 - (2n)-01	2016	1	25	ULA	78.4128	1	5	81	9	2016_Loc1
PHW30/Mo17-088 - (2n)-02	2016	1	26	ULA	76.2215	1	5	251	9	2016_Loc1
PHW30/Mo17-315 - (2n)-01	2016	1	27	ULA	77.8122	1	5	311	9	2016_Loc1
B73/PHW30-100 - (2n)-01	2016	1	28	ULA	79.4442	1	4	19	9	2016_Loc1
B73/PHW30-183 - (2n)-01	2016	1	29	ULA	81.364	1	4	29	9	2016_Loc1
PHW30/B73-169 - (2n)-01	2016	1	30	ULA	.	1	4	174	9	2016_Loc1
Mo17/PHW30-094 - (2n)-01	2016	1	31	ULA	55.1638	1	5	87	9	2016_Loc1
PHW30/Mo17-187 - (2n)-02	2016	1	32	ULA	80.1552	1	5	289	9	2016_Loc1
B73/PHW30-396 - (2n)-01	2016	1	33	ULA	75.142	1	4	58	9	2016_Loc1
Mo17/PHW30-153 - (2n)-04	2016	1	35	ULA	67.4388	1	5	98	9	2016_Loc1
PHW30/Mo17-089 - (2n)-02	2016	1	36	ULA	72.3472	1	5	253	9	2016_Loc1
Mo17/PHW30-044 - (2n)-02	2016	1	5	ULA	58.601	1	5	72	10	2016_Loc1
PHW30/Mo17-165 - (2n)-01	2016	1	6	ULA	65.4344	1	5	282	10	2016_Loc1
B73/PHW30-036 - (2n)-02	2016	1	7	ULA	75.8638	1	4	6	10	2016_Loc1
PHW30/Mo17-076 - (2n)-01	2016	1	8	ULA	45.3696	1	5	245	10	2016_Loc1
Mo17/PHW30-160 - (2n)-01	2016	1	9	ULA	55.4088	1	5	100	10	2016_Loc1
PHW30/B73-078 - (2n)-01	2016	1	10	ULA	76.0926	1	4	161	10	2016_Loc1
B73/PHW30-412 - (2n)-02	2016	1	11	ULA	62.1604	1	4	63	10	2016_Loc1
PHW30/Mo17-019 - (2n)-01	2016	1	12	ULA	43.772	1	5	220	10	2016_Loc1
Mo17/PHW30-389 - (2n)-02	2016	1	13	ULA	60.264	1	5	134	10	2016_Loc1
B73/PHW30-201 - (2n)-01	2016	1	14	ULA	69.159	1	4	34	10	2016_Loc1
Mo17/PHW30-217 - (2n)-02	2016	1	15	ULA	68.0124	1	5	107	10	2016_Loc1
B73/PHW30-288 - (2n)-01	2016	1	16	ULA	84.221	1	4	47	10	2016_Loc1
