Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
PHW30	2016	2	27	MLA	73.1128	4	3	3	2	2016_Loc2
Mo17	2016	2	13	MLA	57.1332	4	3	2	3	2016_Loc2
B73	2016	2	25	MLA	62.5528	4	3	1	3	2016_Loc2
PHW30	2016	2	36	MLA	72.82	4	3	3	3	2016_Loc2
PHW30	2016	2	12	MLA	73.4814	4	3	3	4	2016_Loc2
B73	2016	2	22	MLA	57.7824	4	3	1	4	2016_Loc2
Mo17	2016	2	25	MLA	58.2198	4	3	2	4	2016_Loc2
B73	2016	2	11	MLA	59.7622	4	3	1	5	2016_Loc2
Mo17	2016	2	22	MLA	57.1174	4	3	2	5	2016_Loc2
PHW30	2016	2	33	MLA	73.5252	4	3	3	5	2016_Loc2
PHW30	2016	2	5	MLA	78.4968	4	3	3	6	2016_Loc2
B73	2016	2	16	MLA	63.2708	4	3	1	6	2016_Loc2
Mo17	2016	2	26	MLA	56.8074	4	3	2	6	2016_Loc2
Mo17	2016	2	5	MLA	60.515	4	3	2	7	2016_Loc2
PHW30	2016	2	30	MLA	74.7752	4	3	3	7	2016_Loc2
B73	2016	2	31	MLA	62.812	4	3	1	7	2016_Loc2
Mo17	2016	2	32	MLA	59.905	4	3	2	8	2016_Loc2
B73	2016	2	33	MLA	58.1628	4	3	1	8	2016_Loc2
PHW30	2016	2	36	MLA	72.7672	4	3	3	8	2016_Loc2
B73	2016	2	19	MLA	59.865	4	3	1	9	2016_Loc2
Mo17	2016	2	25	MLA	53.4126	4	3	2	9	2016_Loc2
PHW30	2016	2	34	MLA	73.7636	4	3	3	9	2016_Loc2
PHW30	2016	2	9	MLA	72.1058	4	3	3	10	2016_Loc2
B73	2016	2	24	MLA	64.951	4	3	1	10	2016_Loc2
Mo17	2016	2	35	MLA	53.5362	4	3	2	10	2016_Loc2
PHW30	2016	2	15	MLA	73.7884	4	3	3	11	2016_Loc2
B73	2016	2	20	MLA	61.3728	4	3	1	11	2016_Loc2
Mo17	2016	2	22	MLA	54.4784	4	3	2	11	2016_Loc2
B73	2017	1	23	FUELA	75.57966667	3	3	1	1	2017_Loc1
B73	2017	1	23	MLA	61.76133333	4	3	1	1	2017_Loc1
B73	2017	1	23	TUELA	74.75466667	2	3	1	1	2017_Loc1
B73	2017	1	23	ULA	81.22533333	1	3	1	1	2017_Loc1
