Pop	Trait	Avg	Max	Min	SD	n
B73	Canopy average	70.583221	79.858	55.418899999999994	4.565611736501007	130
B73	Canopy intercept	68.71664138461539	77.7547	56.56699999999999	4.166301792957163	130
B73	Canopy slope	76.37540179835926	90	55.66164381700341	7.037356800618026	130
B73	One above ear	69.65018115384615	79.8202	58.397	4.519190527361597	130
B73	One below flag	72.30147153846154	84.887200000000007	52.44180000000001	6.6513866305476945	130
B73	Three above ear	73.12605	84.3601	60.8647	4.985802587024776	130
B73	Two below ear	66.70881223076923	77.2927	52.435100000000006	4.7338372224667005	130
Mo17	Canopy average	66.84045553072625	79.354	47.4706	6.7306659730595175	179
Mo17	Canopy intercept	68.32470983240223	80.637199999999993	50.8322	5.608740983128199	179
Mo17	Canopy slope	62.941641491186	83.2668451159694	30	8.547577710457416	179
Mo17	One above ear	69.05658703910613	79.1826	50.6111	5.248019435179636	179
Mo17	One below flag	62.63185296089386	82.74710000000002	36.88880000000001	10.18967733466282	179
Mo17	Three above ear	68.31982787709498	82.52090000000001	45.29960000000001	7.380444721662946	179
Mo17	Two below ear	67.96987145251397	80.944	53.2371	5.401827393546021	179
