RecId	Pedigree	Year	Loc	Range	Pass	Trait	Value
3281724	Mo17/PHW30-341 - (2n)-02	2016	1	2	5	ULA	50.0442
3281725	PHW30/Mo17-178 - (2n)-01	2016	1	2	6	ULA	79.1934
3281726	B73	2016	1	2	7	ULA	73.1264
3281727	PHW30/Mo17-266 - (2n)-01	2016	1	2	8	ULA	68.94633333
3281728	Mo17/PHW30-281 - (2n)-01	2016	1	2	9	ULA	67.40033333
3281729	Mo17/PHW30-429 - (2n)-02	2016	1	2	10	ULA	43.048
3281730	PHW30/Mo17-061 - (2n)-02	2016	1	2	11	ULA	47.3034
3281731	PHW30/Mo17-037 - (2n)-02	2016	1	2	12	ULA	57.1438
3281732	Mo17/PHW30-148 - (2n)-02	2016	1	2	13	ULA	64.885
3281733	B73/PHW30-092 - (2n)-01	2016	1	2	14	ULA	75.0254
3281734	PHW30/Mo17-089 - (2n)-01	2016	1	2	15	ULA	69.5938
3281735	Mo17/PHW30-254 - (2n)-02	2016	1	2	16	ULA	74.344
3281736	PHW30/B73-302 - (2n)-02	2016	1	2	17	ULA	74.1428
3281737	Mo17/PHW30-089 - (2n)-02	2016	1	2	18	ULA	62.8806
3281738	PHW30/Mo17-110 - (2n)-03	2016	1	2	19	ULA	69.8682
3281739	PHW30/B73-193 - (2n)-01	2016	1	2	20	ULA	81.4578
3281740	PHW30/B73-433 - (2n)-01	2016	1	2	21	ULA	68.197
3281741	PHW30/Mo17-179 - (2n)-01	2016	1	2	22	ULA	64.3428
3281742	PHW30/Mo17-101 - (2n)-02	2016	1	2	23	ULA	73.543
3281743	PHW30	2016	1	2	24	ULA	74.2868
3281744	PHW30/B73-029 - (2n)-01	2016	1	2	25	ULA	64.5038
3281745	Mo17/PHW30-009 - (2n)-01	2016	1	2	26	ULA	54.7118
3281746	PHW30/Mo17-278 - (2n)-02	2016	1	2	27	ULA	57.6042
3281747	PHW30/Mo17-010 - (2n)-02	2016	1	2	28	ULA	45.104
3281748	Mo17/PHW30-456 - (2n)-02	2016	1	2	29	ULA	65.8216
3281749	Mo17/PHW30-456 - (2n)-01	2016	1	2	30	ULA	51.2096
3281750	B73/PHW30-154 - (2n)-01	2016	1	2	31	ULA	77.6244
3281751	Mo17/PHW30-292 - (2n)-01	2016	1	2	32	ULA	68.959
3281752	Mo17/PHW30-409 - (2n)-02	2016	1	2	33	ULA	67.706
3281753	Mo17/PHW30-248 - (2n)-02	2016	1	2	34	ULA	63.7114
3281754	Mo17	2016	1	2	35	ULA	54.1082
3281755	PHW30/Mo17-160 - (2n)-02	2016	1	2	36	ULA	52.4058
3281787	PHW30/Mo17-095 - (2n)-02	2016	1	3	5	ULA	43.923
3281786	Mo17/PHW30-109 - (2n)-01	2016	1	3	6	ULA	46.2056
3281785	PHW30/B73-289 - (2n)-02	2016	1	3	7	ULA	65.6028
3281784	Mo17/PHW30-324 - (2n)-01	2016	1	3	8	ULA	36.0986
3281783	PHW30/Mo17-099 - (2n)-02	2016	1	3	9	ULA	60.6532
3281782	Mo17/PHW30-279 - (2n)-02	2016	1	3	10	ULA	59.0672
3281781	Mo17/PHW30-332 - (2n)-02	2016	1	3	11	ULA	69.1654
3281780	Mo17/PHW30-133 - (2n)-02	2016	1	3	12	ULA	67.7776
3281779	PHW30/Mo17-187 - (2n)-01	2016	1	3	13	ULA	79.8098
3281778	PHW30/B73-138 - (2n)-01	2016	1	3	14	ULA	72.176
3281777	PHW30/Mo17-299 - (2n)-01	2016	1	3	15	ULA	81.3664
3281776	B73/PHW30-409 - (2n)-02	2016	1	3	16	ULA	70.5166
3281775	PHW30/Mo17-155 - (2n)-02	2016	1	3	17	ULA	47.3568
3281774	PHW30/Mo17-157 - (2n)-02	2016	1	3	18	ULA	67.2928
3281773	B73	2016	1	3	19	ULA	78.924
3281772	B73/PHW30-064 - (2n)-01	2016	1	3	20	ULA	67.207
3281771	PHW30/B73-002 - (2n)-01	2016	1	3	21	ULA	63.8124
3281770	Mo17/PHW30-409 - (2n)-01	2016	1	3	22	ULA	69.8442
3281769	Mo17	2016	1	3	23	ULA	53.1204
3281768	PHW30/Mo17-050 - (2n)-01	2016	1	3	24	ULA	49.1686
3281767	PHW30/B73-341 - (2n)-02	2016	1	3	25	ULA	56.3614
3281766	PHW30	2016	1	3	26	ULA	75.4572
3281765	Mo17/PHW30-091 - (2n)-02	2016	1	3	27	ULA	58.6938
3281764	PHW30/Mo17-051 - (2n)-01	2016	1	3	28	ULA	61.3504
3281763	PHW30/B73-055 - (2n)-02	2016	1	3	29	ULA	63.2158
3281762	Mo17/PHW30-133 - (2n)-01	2016	1	3	30	ULA	43.6384
3281761	PHW30/Mo17-050 - (2n)-02	2016	1	3	31	ULA	62.8616
3281760	PHW30/B73-289 - (2n)-01	2016	1	3	32	ULA	56.995
3281759	Mo17/PHW30-309 - (2n)-02	2016	1	3	33	ULA	72.1186
3281758	PHW30/B73-355 - (2n)-01	2016	1	3	34	ULA	71.5824
3281757	Mo17/PHW30-126 - (2n)-01	2016	1	3	35	ULA	56.2444
3281756	PHW30/Mo17-136 - (2n)-02	2016	1	3	36	ULA	68.7894
3281788	PHW30/B73-349 - (2n)-01	2016	1	4	5	ULA	80.2042
3281789	Mo17/PHW30-279 - (2n)-01	2016	1	4	6	ULA	67.8334
3281790	B73/PHW30-068 - (2n)-01	2016	1	4	7	ULA	69.2758
3281791	PHW30/Mo17-129 - (2n)-01	2016	1	4	8	ULA	72.1235
3281792	PHW30/B73-066 - (2n)-02	2016	1	4	9	ULA	67.002
3281793	Mo17/PHW30-217 - (2n)-01	2016	1	4	10	ULA	59.8052
3281794	PHW30/B73-372 - (2n)-02	2016	1	4	11	ULA	79.0422
