RecId	Trait	Loc	LA	PedId	Loc Seq#	Experiment	Entry	Pass	Range	Source	Pedigree	Notes
4085810	MLA	1	71.87766666666667	3226179	10	MD-OBS1	10	14	2	15WJMY:Dziev:0015	PHW30/B73-002 - (2n)-01	NA
4085810	TUELA	1	79.15466666666667	3226179	10	MD-OBS1	10	14	2	15WJMY:Dziev:0015	PHW30/B73-002 - (2n)-01	NA
4085810	ULA	1	75.29433333333334	3226179	10	MD-OBS1	10	14	2	15WJMY:Dziev:0015	PHW30/B73-002 - (2n)-01	NA
4085811	FUELA	1	81.87633333333333	3226176	11	MD-OBS1	11	15	2	15WJMY:Dziev:0012	PHW30/B73-349 - (2n)-01	NA
4085811	MLA	1	73.66933333333333	3226176	11	MD-OBS1	11	15	2	15WJMY:Dziev:0012	PHW30/B73-349 - (2n)-01	NA
4085811	TUELA	1	83.606	3226176	11	MD-OBS1	11	15	2	15WJMY:Dziev:0012	PHW30/B73-349 - (2n)-01	NA
4085811	ULA	1	82.17033333333333	3226176	11	MD-OBS1	11	15	2	15WJMY:Dziev:0012	PHW30/B73-349 - (2n)-01	NA
4085812	FUELA	1	68.90233333333333	3229121	12	MD-OBS1	12	16	2	15WJMY:Dziev:0057	PHW30/B73-289 - (2n)-02	NA
4085812	MLA	1	64.24300000000001	3229121	12	MD-OBS1	12	16	2	15WJMY:Dziev:0057	PHW30/B73-289 - (2n)-02	NA
4085812	TUELA	1	79.17866666666667	3229121	12	MD-OBS1	12	16	2	15WJMY:Dziev:0057	PHW30/B73-289 - (2n)-02	NA
4085812	ULA	1	65.34366666666666	3229121	12	MD-OBS1	12	16	2	15WJMY:Dziev:0057	PHW30/B73-289 - (2n)-02	NA
4085813	FUELA	1	77.768	3229257	13	MD-OBS1	13	17	2	15WJMY:Dziev:0199	PHW30/Mo17-089 - (2n)-01	NA
4085813	MLA	1	81.81833333333334	3229257	13	MD-OBS1	13	17	2	15WJMY:Dziev:0199	PHW30/Mo17-089 - (2n)-01	NA
4085813	TUELA	1	73.93566666666666	3229257	13	MD-OBS1	13	17	2	15WJMY:Dziev:0199	PHW30/Mo17-089 - (2n)-01	NA
4085813	ULA	1	59.650666666666666	3229257	13	MD-OBS1	13	17	2	15WJMY:Dziev:0199	PHW30/Mo17-089 - (2n)-01	NA
4085814	FUELA	1	66.112	3229315	14	MD-OBS1	14	18	2	15WJMY:Dziev:0258	Mo17/PHW30-160 - (2n)-02	NA
4085814	MLA	1	61.674	3229315	14	MD-OBS1	14	18	2	15WJMY:Dziev:0258	Mo17/PHW30-160 - (2n)-02	NA
